"","folio","staff_t","staff_p","base","n_orgs","p_priv","p_base","compact","truck","pickup","o_veh","a_10","a_20","large_v","p_comp","tot_veh","can_ton","bas_sep","sistema","pobtot2018","P60","hoteles","ingpc2015"
"1294","21197",38,0,0,1,0,0,5,0,1,0,0,1,0.833333333333333,0.833333333333333,6,60,"No","Otra",79593,0.108476876107195,24,17247.7789765272
"1295","21198",3,0,3,1,0,1,0,0,1,0,1,0,0,0,1,0.429,"No","Casa",1297,0.158057054741712,0,10408.1916167665
"1296","21199",4,0,0,1,0,0,3,0,0,0,0.333333333333333,0.333333333333333,1,1,3,30,"No","Casa",41934,0.0757142175800067,0,13303.117087156
"1297","21200",4,0,0,1,0,0,0,0,1,0,0,0,0,0,1,2,"No","Casa",3535,0.177934936350778,0,11364.219400711
"1298","21201",2,0,0,1,0,0,0,0,1,0,0,0,0,0,1,1,"No","Casa",3339,0.141659179395028,0,9986.14227458088
"1299","21202",4,0,0,1,0,0,1,0,0,0,0,1,1,1,1,0.614,"No","Cont/Casa",12873,0.115357725471918,3,8645.81270657363
"1300","21203",4,0,0,1,0,0,0,0,1,0,0,0,0,0,1,3,"No","Casa",6953,0.109880627067453,0,10033.4375161708
"1301","21204",4,0,0,1,0,0,1,0,0,0,NA,NA,1,1,1,2,"No","Casa",7842,0.10902830910482,0,14721.5745253401
"1302","21205",13,0,0,1,0,0,3,0,0,0,0,1,1,1,3,9,"No","Casa",25712,0.0771624144368388,0,15088.5215029425
"1303","21206",3,0,0,1,0,0,1,0,0,0,0,1,1,1,1,1,"No","Casa",4560,0.154385964912281,0,11959.9714607585
"1304","21207",25,0,0,1,0,0,4,0,0,0,0.25,0.75,1,1,4,17,"No","Casa",56967,0.104112907472747,11,14879.2341318902
"1305","21208",44,0,15,1,0,0.340909090909091,8,0,0,0,0.375,0.625,1,1,8,64,"No","Otra",85144,0.106008644179273,43,18816.1480733536
"1306","21209",2,0,0,1,0,0,1,0,0,0,0,0,1,1,1,6,"No","Casa",8524,0.142538714218677,4,13577.3006012024
"1307","21210",4,0,0,1,0,0,1,0,0,0,0,1,1,1,1,1,"No","Cont/Casa",5664,0.145833333333333,6,12142.3135135135
"1308","21211",12,0,4,1,0,0.333333333333333,0,0,2,0,0,0.5,0,0,2,8,"No","Otra",16492,0.109325733689061,6,19415.1510917031
"1309","21212",6,0,0,1,0,0,1,0,0,0,NA,NA,1,1,1,4,"No","Otra",20462,0.109715570325481,3,10270.3998750878
"1310","21213",3,0,0,1,0,0,0,0,1,0,0,1,0,0,1,3,"No","Casa",12082,0.122744578712134,0,10419.9798374653
"1311","21214",10,0,0,1,0,0,2,0,1,0,0,0.666666666666667,0.666666666666667,0.666666666666667,3,20,"No","Casa",17826,0.102266352518793,5,14344.7600051473
"1312","21215",3,0,0,1,0,0,1,0,0,0,0,0,1,1,1,1,"No","Casa",4551,0.150736101955614,0,9600.21937139192
"1313","21216",3,0,0,1,0,0,0,0,1,0,0,1,0,0,1,0.75,"No","Casa",2487,0.1805388017692,0,9510.2683982684
"1314","21217",8,0,0,1,0,0,1,0,0,0,0,0,1,1,1,0.8,"No","Casa",20377,0.119055798203857,3,5737.74830590513
"1315","22001",55,0,50,1,0,0.909090909090909,8,2,0,1,0.363636363636364,0.545454545454545,0.909090909090909,0.727272727272727,11,38,"Si","Otra",65909,0.0985904808144563,6,16386.2084991655
